id,name,global_id,alternate_name,functional_status,type,ward_code,category,timestamp,accessibility,lga_name,lga_code,state_code,state_name,FID
1,G R A Nursing Home,af719462-abfd-4f47-9dc3-0987164e75ac,Nursing Home,Unknown,Primary,12413,Primary Health Center,2020-07-04T13:49:18Z,,Maiduguri,124,BR,Borno,sv_health_facilities.fid--3185df38_17a314b4ee6_9a6
2,Gishili Health Center,a29b0328-d844-4358-b0ab-2e120b8fb30f,Nursing Home,Functional,Primary,12413,Primary Health Center,2020-07-04T13:49:18Z,Unknown,Maiduguri,124,BR,Borno,sv_health_facilities.fid--3185df38_17a314b4ee6_9a7
3,Lehobi Primary Health Care,b685b769-5c83-4f83-a182-00e7e1b777d8,,Partially Functional,Primary,10207,Primary Health Center,2020-07-04T13:49:18Z,,Askira Uba,102,BR,Borno,sv_health_facilities.fid--3185df38_17a314b4ee6_9a8
4,Dugja Idp Camp,78e64f7a-cbb8-4357-9e64-a7e502534527,Mandara Girau Dispensary,Not Functional,Primary,10503,Primary Health Center,2020-07-04T13:49:18Z,Unknown,Biu,105,BR,Borno,sv_health_facilities.fid--3185df38_17a314b4ee6_9a9
5,Kopa Maikudiri Dispensary,409c97ce-7490-4dc2-a8f8-2b8d53ad2b12,,Partially Functional,Primary,10209,Dispensary,2020-07-04T13:49:18Z,Unknown,Askira Uba,102,BR,Borno,sv_health_facilities.fid--3185df38_17a314b4ee6_9aa
6,Ghumtukum Medical Center,6afd9e7a-b985-4cd5-b0cf-f9488500a3a0,Atla Medical Center,Functional,Primary,12413,Medical Center,2020-07-04T13:49:18Z,,Maiduguri,124,BR,Borno,sv_health_facilities.fid--3185df38_17a314b4ee6_9ab
7,Ghung Dispensary,50e5c971-d348-4c81-ba29-f806eefe9920,,Functional,Primary,11112,Dispensary,2020-07-04T13:49:18Z,Unknown,Gwoza,111,BR,Borno,sv_health_facilities.fid--3185df38_17a314b4ee6_9ac
8,Grem Demch Dispensary,f92b67cf-d74c-4e37-8f8b-aa4e4b18f82d,,Partially Functional,Primary,11202,Dispensary,2020-07-04T13:49:18Z,,Hawul,112,BR,Borno,sv_health_facilities.fid--3185df38_17a314b4ee6_9ad
9,Gumsuri Federal Medical Center,9c2b58dd-1e99-49b9-970e-eabce1c7dd10,,Not Functional,Secondary,10710,Federal Medical Center,2020-07-04T13:49:18Z,Unknown,Damboa,107,BR,Borno,sv_health_facilities.fid--3185df38_17a314b4ee6_9ae
10,Uba Bobo Health Post,5a3864b5-d66b-4683-90cd-9c76af393450,,Functional,Primary,10211,Dispensary,2020-07-04T13:49:18Z,,Askira Uba,102,BR,Borno,sv_health_facilities.fid--3185df38_17a314b4ee6_9af
