State,LGA,Population Potentially Affected
Adamawa,Demsa,21626
Adamawa,Fufore,73532
Adamawa,Ganye,74
Adamawa,Girei,66278
Adamawa,Gombi,647
Adamawa,Guyuk,34342
Adamawa,Hong,194
Adamawa,Jada,447
Adamawa,Lamurde,39908
Adamawa,Madagali,1824
Adamawa,Maiha,8463
Adamawa,Mayo-Belwa,2124
Adamawa,Michika,285
Adamawa,Mubi North,0
Adamawa,Mubi South,332
Adamawa,Numan,60681
Adamawa,Shelleng,36300
Adamawa,Song,4841
Adamawa,Toungo,315
Adamawa,Yola North,41586
Adamawa,Yola South,50865
Borno,Abadam,11856
Borno,Askira/Uba,1817
Borno,Bama,40799
Borno,Bayo,6060
Borno,Biu,1791
Borno,Chibok,2916
Borno,Damboa,20515
Borno,Dikwa,53299
Borno,Gubio,0
Borno,Guzamala,299
Borno,Gwoza,8860
Borno,Hawul,11861
Borno,Jere,147744
Borno,Kaga,2060
Borno,Kala/Balge,57327
Borno,Konduga,29031
Borno,Kukawa,12320
Borno,Kwaya Kusar,467
Borno,Mafa,103631
Borno,Magumeri,7
Borno,Maiduguri,53280
Borno,Marte,12150
Borno,Mobbar,23577
Borno,Monguno,27796
Borno,Ngala,67173
Borno,Nganzai,17824
Borno,Shani,46315
Yobe,Bade,154108
Yobe,Bursari,37413
Yobe,Damaturu,0
Yobe,Fika,3162
Yobe,Fune,8434
Yobe,Geidam,29569
Yobe,Gujba,4644
Yobe,Gulani,23734
Yobe,Jakusko,172310
Yobe,Karasuwa,10377
Yobe,Machina,0
Yobe,Nangere,8186
Yobe,Nguru,18595
Yobe,Potiskum,0
Yobe,Tarmua,4298
Yobe,Yunusari,21675
Yobe,Yusufari,0
